0;1;2;3
"Uzupełnij zdania odpowiednimi przymiotnikami opisującymi cechy charakteru.";"Complétez les phrases avec l'adjectif de personnalité qui convient.";"Les adjectifs de personnalité";
"Marie sourit toujours et raconte des histoires amusantes. Elle est très ";".";"drôle";"≠ ennuyeux"
"Pierre ne partage jamais ses bonbons avec ses amis. Il est ";".";"avare";"≠ généreux"
"Sophie dit toujours la vérité. Elle est ";".";"sincère";"≠ hypocrite"
"Mon professeur ne sourit jamais et ne fait jamais de blagues. Il est très ";".";"sérieux";"≠ drôle"
"Lucas aide toujours les autres et donne son argent aux pauvres. Il est ";".";"généreux";"≠ avare"
"Ma voisine est toujours de mauvaise humeur et n'est jamais contente. Elle est ";".";"désagréable";"≠ agréable"
"Mon frère attend toujours son tour sans se plaindre. Il est très ";".";"patient";"≠ impatient"
"Julie pense que tout va bien se passer dans la vie. Elle est ";".";"optimiste";"≠ pessimiste"
"Ce garçon dit toujours 'bonjour' et 'merci'. Il est très ";".";"poli";"≠ impoli"
"Ma sœur pleure souvent et n'est jamais contente. Elle est ";".";"triste";"≠ gai/joyeux"
"Thomas fait toujours ses devoirs avec attention. Il est ";".";"consciencieux";"≠ désinvolte"
"Cette fille parle avec tout le monde et aime les fêtes. Elle est très ";".";"sociable";"≠ introverti"
"Mon ami pense toujours qu'il est le meilleur. Il est ";".";"prétentieux";"≠ modeste"
"Le nouveau directeur écoute tout le monde et ne se vante jamais. Il est ";".";"humble";"≠ arrogant"
"Ma grand-mère dit des choses gentilles à tout le monde. Elle est très ";".";"gentille";"≠ méchante"
"Ce professeur comprend tout très vite et a toujours de bonnes idées. Il est ";".";"intelligent";"≠ stupide"
"Mon oncle ne peut pas attendre deux minutes! Il est très ";".";"impatient";"≠ patient"
"Cette personne fait semblant d'être gentille mais dit du mal des autres. Elle est ";".";"hypocrite";"≠ sincère"
"Mon cousin danse et chante dans la rue. Il est très ";".";"exubérant";"≠ réservé"
"J'aime bien Paul, il est vraiment ";"!";"sympathique";"≠ antipathique"
